Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1042 #1,Kan,0.01,1.0,0.1,7,2,0,0,409.0909090909091
SLM1042 #2,Kan,0.01,1.0,0.1,8,11,1,2,1000.0
SLM1042 #3,Kan,0.01,1.0,0.1,6,6,1,0,590.9090909090909
SLM1042 #4,Kan,0.01,1.0,0.1,7,4,1,1,590.9090909090909
SLM1042 #5,Kan,0.01,1.0,0.1,20,17,4,7,2181.818181818181
SLM1042 #6,Kan,0.01,1.0,0.1,8,5,1,3,772.7272727272726
SLM1042 #7,Kan,0.01,1.0,0.1,9,11,5,2,1227.272727272727
SLM1042 #8,Kan,0.01,1.0,0.1,9,6,1,1,772.7272727272726
SLM1042 #9,Kan,0.01,1.0,0.1,28,27,5,6,3000.0
SLM1043 #1,Kan,0.01,1.0,0.1,23,17,1,2,1954.545454545455
SLM1043 #2,Kan,0.01,1.0,0.1,26,28,4,5,2863.636363636364
SLM1043 #3,Kan,0.01,1.0,0.1,15,18,3,3,1772.727272727272
SLM1043 #4,Kan,0.01,1.0,0.1,17,25,3,4,2227.272727272727
SLM1043 #5,Kan,0.01,1.0,0.1,21,24,1,3,2227.272727272727
SLM1043 #6,Kan,0.01,1.0,0.1,15,21,1,4,1863.636363636364
SLM1043 #7,Kan,0.01,1.0,0.1,17,21,2,3,1954.545454545455
SLM1043 #8,Kan,0.01,1.0,0.1,9,15,3,5,1454.545454545455
SLM1043 #9,Kan,0.01,1.0,0.1,22,24,3,4,2409.090909090909
DG011 #5,LB,0.1,1e-05,1e-06,177,177,18,18,177272727.2727272
DG012 #8,LB,0.1,1e-05,1e-06,255,255,32,32,260909090.9090908
SLM1042 #8,LB,0.1,1e-05,1e-06,232,232,22,22,230909090.9090908
SLM1043 #7,LB,0.1,1e-05,1e-06,139,139,7,7,132727272.7272727
DG011 #5,Kan,0.1,1.0,0.1,85,85,11,11,872.7272727272726
DG012 #8,Kan,0.1,1.0,0.1,175,175,22,22,1790.909090909091
SLM1042 #8,Kan,0.1,1.0,0.1,129,129,8,8,1245.4545454545453
SLM1043 #7,Kan,0.1,10e-1,10e-2,258,258,20,20,2527.272727272727
